start:START_ID,end:END_ID,label:TYPE
FnfG3r2bC,pqyDoNken,SUPPORTS
tsKBuSu4g,uDhhG86gh,SUPPORTS
sV9j_ssrE,OmW3Oenrv,SUPPORTS
w5xrqKLI_,j_qkDRYOI,SUPPORTS
fZx8-Rfca,ZrqcUgnm2,SUPPORTS
NwBCcwVBq,Y_-5TI6l-,SUPPORTS
jS80T7lS5,U1NnUWggk,SUPPORTS
sikUtfWyf,jFqk1pek1,SUPPORTS
SVzr-eboO,ZcH9EQSLm,SUPPORTS
nHQRpPGyv,c6rE6nW2l,SUPPORTS
Q2jgcTrzF,8KvsZJcZy,SUPPORTS
BGpeJrpUb,VvnxGTygJ,SUPPORTS
ATh4sNlaS,54s5aATRI,SUPPORTS
Dnlq8A7OQ,Od4lreHnI,SUPPORTS
LHar0VU_9,yPn7XsYUQ,SUPPORTS
EEv4t_Zmw,2GG4zS9b-,SUPPORTS
5xJkG_dQv,THaZuXFe3,SUPPORTS
28piBtyCP,sjP6kxgVo,SUPPORTS
rW9j9BLFE,WbKpKaIpR,SUPPORTS
TEas5VTq3,NQpz5uR1r,SUPPORTS
b1nT-0nmZ,zPYSTv9XY,SUPPORTS
G6Dt9EUlZ,p-SOduyDV,SUPPORTS
85I3FMzkf,gkgcr-k_u,SUPPORTS
i61FjD7N_,Fy5kdB6IU,SUPPORTS
1OX4Ja3Bs,YRNjSuB1m,SUPPORTS
OzPq5b9Bu,OmW3Oenrv,SUPPORTS
LSw8SXuEz,5ENO3ZU_P,SUPPORTS
rwVKYrlHN,H2Oig4UIN,SUPPORTS
LP0AEgKvL,mWEZXeOtx,SUPPORTS
eIcyC6cqo,tDkP6Tltz,SUPPORTS
CYdetKaa4,5VhHBHy5-,SUPPORTS
fjmFnfZxi,HXwjs6rar,SUPPORTS
-eEnETf9u,neJq2nWDk,SUPPORTS
Zo4cVaD34,i-3yO7uOM,SUPPORTS
TISp5t3pO,yhYwsk445,SUPPORTS
wg-tL_YH6,zHgOZipSf,SUPPORTS
Oij-q4JsF,WLxKVfU42,SUPPORTS
4pRj56pL2,WbKpKaIpR,SUPPORTS
sffZqWHW4,-8yAHAHO1,SUPPORTS
Wtxp_oJDN,SVO6i77ll,SUPPORTS
qyujJigSk,SVO6i77ll,SUPPORTS
xkB9Y4f6Z,_rTn9MlI3,SUPPORTS
DL7lKY_N6,G4YwF5e2P,SUPPORTS
PSA7511kK,g2bR-DwL6,SUPPORTS
TMN0eQB8C,djfdalZRf,SUPPORTS
F6qxFkTUx,pqyDoNken,SUPPORTS
J8B-ui82c,gkgcr-k_u,SUPPORTS
r-1ymhoVX,gBnjrt8Xv,SUPPORTS
_4UFcFH4C,ZzBnaNkhQ,SUPPORTS
fZx8-Rfca,ScA55IU9J,SUPPORTS
pz9Ofmmt_,WFVfUWHFg,SUPPORTS
aJngFbteo,ha_-45Jjo,SUPPORTS
YnZuD0iG2,E2UoU4xlK,SUPPORTS
tad5MxAmU,aFgvPIbE5,SUPPORTS
S3Jz8Rq0j,1Vj_Q0hPk,SUPPORTS
1JvBH0nCz,_Oe2qyajr,SUPPORTS
AQy-nbEwf,MnxUMizFV,SUPPORTS
RV0XA6D3B,JXQNKz9mc,SUPPORTS
2nIqemUze,AvGENysjw,SUPPORTS
2L5_w1IYK,ha_-45Jjo,SUPPORTS
TY9_aUO07,rqrXKNQeK,SUPPORTS
tQy4sEF_R,ZO5BOavVX,SUPPORTS
URbbXnWk0,BCTcQS8_0,SUPPORTS
PKXjaKH1E,fNgK0w2kh,SUPPORTS
icslLsv9V,a9bSSq2Yy,SUPPORTS
PjQJXsOzF,gBnjrt8Xv,OPPOSES
tsKBuSu4g,W-54Y6gI2,OPPOSES
NAv6HKLye,W-54Y6gI2,OPPOSES
7joN8S4Cb,N1DQLTO3s,OPPOSES
NTikknFZ7,iAeZYp2ED,OPPOSES
F0emNfngi,WFVfUWHFg,OPPOSES
rw_F8t-BK,vO3zOVNQf,OPPOSES
fjnZM77gZ,WTiO310sL,OPPOSES
CB_X4SFL6,OttLm1SHu,INFORMS